DB-Plant-No.,Type of Plant,Type of Plant.1,Country,Parent Company,Company Code,Company,City,State,Region,Value Chain Step,Plant No.,Last Update,Status of the Plant,Parent Manufacturer,Manufacturer_A,Manufacturer_B,Year Of Start Up,Year Of Modernizing,Nominal Capacity,Process/type Of Plant,Strip Width Min.,Strip Width Max.,Strip Thickness Min.,Strip Thickness Max.,Entry: Number Of Pay-off Reels,Entry: Coil Weight Max.,Entry: Pay-off Speed Max.,Entry: Type Of Strip Accumulator,Entry: Capacity Of Accumulator,Annealing: Strip Cleaning,Annealing: Heat Cycle,Annealing: Type Of Furnace Heating,Annealing: Cooling Cycle,Annealing: Proc. Speed Min.,Annealing: Proc. Speed Max.,Exit: Number Of Tension Reels,Exit: Coil Weight Max.,Exit: Coiling Speed Max.,Exit: Type Of Strip Accumulator,Exit: Capacity Of Accumulator Max.,Processed Strip Grades A),Processed Strip Grades B),Additional Inline Equipment,Additional Information,Latitude,Longitude
Code,Code,Text,Text,Text,Code,Text,Text,Text,Text,Text,Text,Date,Text,Text,Text,Text,Number,Number,1000 T/YEAR,Text,MM,MM,MM,MM,Number,T,M/MIN,Text,M,Text,Text,Text,Text,M/MIN,M/MIN,Number,T,M/MIN,Text,M,Text,Text,Text,Text,,
10006,77,Continuous Annealing Line,South Korea,Hyundai Steel,7100030,Hyundai Steel,Suncheon,,Asia,Cold Strip Processing,1,2009-09-18 10:11:38,Operating,SMS (DE),SMS (DE),Drever International (BE),1999,2008,1050,NKK - CAL,700,1850,0.23,2.3,2,35,700,Looping Tower,900,Alkaline + Brushing + Electrolytic + Rinsing,Accelerated Cooling/Overageing/Quenching,ARTF,Rapid Gas Jet Cooling,,450,1,35,820,Looping Tower,1125,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,,34.9506,127.4872
10012,77,Continuous Annealing Line,Mexico,Altos Hornos De Mexico,8200020,Altos Hornos De Mexico,Monclova,Coahuila,Latin America & Caribbean,Cold Strip Processing,2,2012-03-30 12:00:05,Idle,,,,,,60,Normalizing,610,1220,0.22,1.9,,,,,,,,Natural Gas,,,,,,,,,Thin Sheet,"DQ, DDQ",,,26.9103,-101.4222
10013,77,Continuous Annealing Line,Mexico,Altos Hornos De Mexico,8200020,Altos Hornos De Mexico,Monclova,Coahuila,Latin America & Caribbean,Cold Strip Processing,3,2009-08-26 18:24:54,Idle,,,,,,65,Recrystallisation,508,940,0.19,0.38,,,,,,,,Natural Gas,,,,,,,,,Thin Sheet,"DQ, DDQ",,,26.9103,-101.4222
10014,77,Continuous Annealing Line,Mexico,Altos Hornos De Mexico,8200020,Altos Hornos De Mexico,Monclova,Coahuila,Latin America & Caribbean,Cold Strip Processing,3,2009-08-26 18:25:48,Idle,,,,,,65,Recrystallisation,508,940,0.19,0.38,,,,,,,,Natural Gas,,,,,,,,,Thin Sheet,"DQ, DDQ",,,26.9103,-101.4222
10017,77,Continuous Annealing Line,South Korea,Hyundai Steel,7100030,Hyundai Steel,Suncheon,,Asia,Cold Strip Processing,1,2004-08-09 09:23:11,Shut Down,SMS (DE),SMS (DE),Drever International (BE),1999,,1050,NKK - CAL,700,1850,0.23,2.3,2,35,,Looping Tower,900,,,,,,450,,35,820,Looping Tower,1125,Automotive Steel,,Skin Pass Mill 6-hi + Tension Leveller,CVC Sexto  Dressiergerüst/6-high CVC temper mill,34.9506,127.4872
10072,77,Continuous Annealing Line,Taiwan,Chang Mien Ind.,7400790,Chang Mien Ind.,Kaohsiung,,Asia,Cold Strip Processing,1,2001-05-10 22:02:05,Operating,,,,1994,,60,Bright Annealing,600,1320,0.1,2,,,,,,,,,,,,,,,,,Stainless Steel,,,Chang Mien Industries Co Ltd,22.6167,120.3
10251,77,Continuous Annealing Line,Germany,Tata Steel,100390,Hille & Müller,Duesseldorf,,Europe,Cold Strip Processing,1,2015-06-09 11:16:03,Operating,Tenova,Tenova-Loi (DE),,1996,,,Recrystallisation,300,660,0.1,1,,,,,,,,Natural Gas,,,,,,,,,,"DQ, DDQ",,"Normalisieren von vernickeltem Stahlband unter Schutzgas_x000D_
Normalising of the nickel plating strip by inert gas_x000D_
Kapazität/capacity 1 t/h_x000D_
Eigentümer / ownership: Corus Special Strip (Corus Group plc.)_x000D_
",51.227,6.7735
10264,77,Continuous Annealing Line,United States,Allegheny Technologies,7900500,ATI Allegheny Technologies Inc.,New Bedford,Massachusetts,Northern America,Cold Strip Processing,1,2012-04-13 14:20:43,Operating,,,,,,,,,1321,,,,,,,,,,,,,,,,,,,,,Tension Leveler,,41.6362,-70.9342
10362,77,Continuous Annealing Line,Italy,Acciaieria Arvedi SpA,900110,Acciai Speciali Terni SpA,Terni,,Europe,Cold Strip Processing,1,2013-05-23 13:03:46,Shut Down,SMS Group,Italimpianti (IT),,1991,1994,,Bright Annealing,,1270,0.1,1.2,,,,,,,,Electrically Heated,,,40,,,,,,Stainless Steel,,,ex THYSSENKRUPP AC. SPEC. TERNI,42.5667,12.65
10395,77,Continuous Annealing Line,Germany,Zapp Precision Metals GmbH,100810,Zapp Precision Metals GmbH,Schwerte,,Europe,Cold Strip Processing,1,2013-09-02 11:07:25,Operating,Andritz ,Andritz Sundwig (DE),,1992,,,Bright Annealing,,450,0.1,1.2,,,,,,,,,,,,,,,,,Stainless Steel,,,ex Stahlwerk Ergste Westig GmbH,51.4458,7.5653
